Code,Name,Purchase Price,Tax,Retail Price,Category Code
PRO65,AIR CONDITION CHIGO 1 TON 12000 BTU,0,0,0,AIRCONDITION
PRO66,AIR CONDITION CHIGO 1.5 TON 12000 BTU,0,0,0,AIRCONDITION
PRO67,AIR CONDITION CHIGO 2 TON 24 BTU,0,0,0,AIRCONDITION
PRO68,AIR CONDITION GENAREL 1 TON A12,0,0,0,AIRCONDITION
PRO69,AIR CONDITION GENAREL 1.5 TON FMTA,0,0,0,AIRCONDITION
PRO70,AIR CONDITION GENAREL 1.5 TON G,0,0,0,AIRCONDITION
PRO71,AIR CONDITION GENAREL 2 TON,0,0,0,AIRCONDITION
PRO72,AIR CONDITION GREE 1.5 TON gs-18 ct,0,0,0,AIRCONDITION
PRO73,AIR CONDITION GREE 1.5 TON gs-18 ug,0,0,0,AIRCONDITION
PRO74,AIR CONDITION HICO 1 TON,0,0,0,AIRCONDITION
PRO75,AIR CONDITION HICO 2 TON HS-24 FWM,0,0,0,AIRCONDITION
PRO76,AIR CONDITION MIDEA 1 TON MEF 12 CMP,0,0,0,AIRCONDITION
PRO77,AIR CONDITION MIDEA 1.5 TON MS11D-18CR,0,0,0,AIRCONDITION
PRO78,ANTIVIRUS KASPERSKY NORMAL 1 USER,0,0,0,ANTIVIRUS
PRO79,ANTIVIRUS PANDA INTERNET 1 UJAR,0,0,0,ANTIVIRUS
PRO80,ANTIVIRUS QUICK HEAL INTERNET security 1 year,0,0,0,ANTIVIRUS
PRO81,BAG DELL NOTEBOOK 14.0 inch,0,0,0,ANTIVIRUS
PRO82,BAG MAC  15 INCH,0,0,0,BAG
PRO83,BAG MAC 11 INCH,0,0,0,BAG
PRO84,BAG MAC 13 INCH,0,0,0,BAG
PRO85,BATTERY ACER NOTEBOOK 4745,0,0,0,BATTERY
PRO86,BATTERY ACER NOTEBOOK A-4710,0,0,0,BATTERY
PRO87,BATTERY ACER NOTEBOOK A-4738,0,0,0,BATTERY
PRO88,BATTERY ACER NOTEBOOK D-260,0,0,0,BATTERY
PRO89,BATTERY ACER NOTEBOOK NB F-200,0,0,0,BATTERY
PRO90,BATTERY ACER NOTEBOOK ONE 725,0,0,0,BATTERY
PRO91,BATTERY ACER NOTEBOOK V5-571,0,0,0,BATTERY
PRO92,BATTERY ACER NOTEBOOK ZA-3,0,0,0,BATTERY
PRO93,BATTERY ACER NOTEBOOK ZG-5,0,0,0,BATTERY
PRO94,BATTERY ACER NOTEBOOK 4736Z,0,0,0,BATTERY
PRO95,BATTERY ACER NOTEBOOK 5635Z,0,0,0,BATTERY
PRO96,BATTERY ACER NOTEBOOK 5920,0,0,0,BATTERY
PRO97,BATTERY ACER NOTEBOOK ARJ 1,0,0,0,BATTERY
PRO98,BATTERY ACER NOTEBOOK NAV-50,0,0,0,BATTERY
PRO99,BATTERY ASUS NOTEBOOK 1005,0,0,0,BATTERY
PRO100,BATTERY ASUS NOTEBOOK 1215 T,0,0,0,BATTERY
PRO101,BATTERY ASUS NOTEBOOK A - 3,0,0,0,BATTERY
PRO102,BATTERY ASUS NOTEBOOK A 8,0,0,0,BATTERY
PRO103,BATTERY ASUS NOTEBOOK a32- k55,0,0,0,BATTERY
PRO104,BATTERY ASUS NOTEBOOK F 5,0,0,0,BATTERY
PRO105,BATTERY ASUS NOTEBOOK K-52,0,0,0,BATTERY
PRO106,BATTERY ASUS NOTEBOOK K-56E,0,0,0,BATTERY
PRO107,BATTERY ASUS NOTEBOOK N 61 JV,0,0,0,BATTERY
PRO108,BATTERY ASUS NOTEBOOK SQU 528,0,0,0,BATTERY
PRO109,BATTERY ASUS NOTEBOOK UL 20,0,0,0,BATTERY
PRO110,BATTERY ASUS NOTEBOOK X 101,0,0,0,BATTERY
PRO111,BATTERY ASUS NOTEBOOK X 551 L,0,0,0,BATTERY
PRO112,BATTERY ASUS NOTEBOOK X200C,0,0,0,BATTERY
PRO113,BATTERY ASUS NOTEBOOK X550/560/450/452,0,0,0,BATTERY
PRO114,BATTERY ASUS NOTEBOOK F 3,0,0,0,BATTERY
PRO115,BATTERY ASUS NOTEBOOK F 82,0,0,0,BATTERY
PRO116,BATTERY ASUS NOTEBOOK K-53,0,0,0,BATTERY
PRO117,BATTERY ASUS NOTEBOOK UL 80,0,0,0,BATTERY
PRO118,BATTERY BENQ NOTEBOOK SQU 528,0,0,0,BATTERY
PRO119,BATTERY DELL NOTEBOOK 1310,0,0,0,BATTERY
PRO120,BATTERY DELL NOTEBOOK 14 Z,0,0,0,BATTERY
PRO121,BATTERY DELL NOTEBOOK 1400,0,0,0,BATTERY
PRO122,BATTERY DELL NOTEBOOK 1464,0,0,0,BATTERY
PRO123,BATTERY DELL NOTEBOOK 1520,0,0,0,BATTERY
PRO124,BATTERY DELL NOTEBOOK D 1530,0,0,0,BATTERY
PRO125,BATTERY DELL NOTEBOOK D 3421,0,0,0,BATTERY
PRO126,BATTERY DELL NOTEBOOK D 420,0,0,0,BATTERY
PRO127,BATTERY DELL NOTEBOOK D 630,0,0,0,BATTERY
PRO128,BATTERY DELL NOTEBOOK E 4300,0,0,0,BATTERY
PRO129,BATTERY DELL NOTEBOOK E 5400,0,0,0,BATTERY
PRO130,BATTERY DELL NOTEBOOK E 6400,0,0,0,BATTERY
PRO131,BATTERY DELL NOTEBOOK Ins. 14z-n411z,0,0,0,BATTERY
PRO132,BATTERY DELL NOTEBOOK N 4030,0,0,0,BATTERY
PRO133,BATTERY DELL NOTEBOOK N 5010/4010,0,0,0,BATTERY
PRO134,BATTERY DELL NOTEBOOK N 6000,0,0,0,BATTERY
PRO135,BATTERY DELL NOTEBOOK Studio 1435,0,0,0,BATTERY
PRO136,BATTERY DELL NOTEBOOK STUDIO 1535,0,0,0,BATTERY
PRO137,BATTERY DELL NOTEBOOK VOSTO 1220,0,0,0,BATTERY
PRO138,BATTERY DELL NOTEBOOK Vosto 3400,0,0,0,BATTERY
PRO139,BATTERY DELL NOTEBOOK XPS 15,0,0,0,BATTERY
PRO140,BATTERY DELL NOTEBOOK 1440,0,0,0,BATTERY
PRO141,BATTERY DELL NOTEBOOK 1525,0,0,0,BATTERY
